NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Oramu ninahu ndawa olaho masakan,74.9,117,13.7,5,4.3,0,0.1,964,804,2,,727,0.3,1.5,4095,,,0.77,0.04,1.7,,100
Paniki masak santan masakan,25.4,460,28.5,35.2,7.2,0,3.7,188,357,5.5,2002,532,0.4,2.5,954,,,0.27,0.19,,,100
Pelolah manuk masakan,60,219,19.7,13.6,4.4,0,2.3,33,160,1.6,577,,,,137,,1940,0.42,,,0,100
Rawon masakan,86,60,5.4,2.5,4,0,2.1,272,153,3.3,,,,,10,,1235,0.09,,,0,100
Rendang sapi masakan,57.9,193,22.6,7.9,7.8,0,3.8,474,211,14.9,,,,,21,,534,0.12,,0,,100
RW anjing masakan,60.8,198,24.6,10.7,0.9,0,3,1071,876,4,1604,226,0.1,2.8,256,,,0.35,0.2,,,100
Sate penyu masakan,57.4,179,22.5,3.5,13.3,0,3.3,187,238,14.4,,,,0,,0,,0.1,,0,,100
Sate pusut masakan,52.1,274,12.9,18.6,13.6,0,2.8,63,190,2.7,609,,,,133,0,,0.06,,0,,100
Penyu serapah masakan,71.3,174,13.1,12.2,2.2,0,1.2,72,186,9.5,,507,0.8,2.4,1302,,,,,,,100
Sie reuboh masakan,32.4,474,11.2,42.5,11.7,0,2.2,26,62,1.3,677,176,2.4,3.2,141,9,,0.46,0.26,,,100
Sop buntut masakan,86.1,71,7.5,3.6,2.2,0,0.6,286,38,3.2,490,,,,119,,2900,0.14,,,0,100
Sop daging sapi masakan,87.5,49,5.8,0.5,5.3,0,0.9,158,48,2.2,391,,,,101,,3320,0.37,,,0,100
Sop kaki sapi masakan,84.5,68,9,1.9,3.7,0,0.9,302,15,2.2,435,,,,48,,150,0.46,,,0,100
Sop kambing masakan,91.6,34,5.5,0.8,1.1,0,1,145,37,1.6,348,,,,48,,80,0.57,,,0,100
Sop konro masakan,85,71,7.4,2.6,4.5,0,0.5,17,60,4.6,184,25,0.3,1.3,,,,0.12,0.02,"10.9
 0",0,100
Sop saudara masakan,82.4,89,7.2,5,3.9,0,1.5,10,174,9,274,50,0.2,1.1,,,,0.09,0.12,2,0,100
Soto bandung masakan,89.9,42,3.9,1.7,2.8,0.4,1.8,74,75,1.8,,,,,6,20,0,,,0,0,100
Soto banjar masakan,83.7,110,2.9,9.5,3.2,0,0.7,28,28,0.3,36,6,0,0.2,12,,770,0.05,,,0,100
Soto betawi masakan,75.9,135,2.5,8.8,11.5,0.5,1.3,222,72,1.9,,,,,6,,336,0.04,,0,0,100
Soto jeroan masakan,81.4,92,11.8,4.3,1.4,0,1.1,218,48,1.9,363,,,,85,,440,0.36,,,0,100
Soto kudus masakan,91.6,38,2.6,2.3,1.8,0.2,1.7,237,67,1.7,,,,,23,,128,0.06,,0.5,0,100
Soto madura masakan,89.8,60,3.5,4.5,1.3,0,0.9,361,126,3.8,,,,,26,,121,0.06,,0,0,100
Soto padang masakan,75,127,5.9,6.6,11,0.7,2,298,94,1.5,,,,,12,,204,0.22,,0,0,100
Soto pekalongan masakan,83.8,94,3,6.8,5.1,0.3,1.3,322,79,2,,,,,14,,119,0.29,,0,0,100
Soto pemalang masakan,86,75,3.6,5.2,3.5,0,1.7,170,80,2.1,,,,,16,,30,0.13,,0,0,100
Soto sukaraja masakan,75.9,80,3.2,3.5,9,0.3,1.1,347,77,2.3,,,,,12,,89,0.04,,0,0,100
Soto sulung masakan,88.1,86,2.3,8.5,0,0,1.1,200,120,2.9,,,,,20,,105,0.08,,0,0,100
Sukiyaki masakan,81,75,5.6,0.4,12.2,0.2,0.8,109,59,0.5,426,,,,41,,1200,0.37,,,0,100
Tedong pallu basa masakan,81.7,83,10.4,3.4,2.8,0,1.7,10,139,2.6,397,34,0.6,1.3,,,,0.09,0.53,9,0,100
Tikus rica masakan,54.9,257,18.8,18.5,3.8,0,4,232,293,6.5,1724,308,0.5,2.3,674,,,0.28,0.38,,,100
Tinoransa masakan,31.6,516,17.7,49.5,0,0,1.2,698,648,3.5,1307,320,0.1,1.8,710,,,0.29,0.17,,,100
Belut ,81.5,70,14.6,0.8,1,0,2.1,49,155,1.5,55,169,0.2,1.2,,0,,0.22,0.12,7.7,,
Belutlaut ,79.5,93,12.8,1.5,6.1,0,4.1,60,199,3,33,175.9,0.1,1,51,3,71,0.06,0,2.7,,
Cumicumi ,82.2,75,16.1,0.7,0.1,0,0.9,32,200,1.8,37,204.1,1.6,1.3,0,20,0,0.08,0,2.5,0,
Ikan bader ,66,193,19,13,0,0,2,48,150,0.4,118,264.9,0.1,0.2,45,0,,0.01,0.1,4.1,0,
Ikan balong ,76.5,107,16.5,3.9,1.5,0,1.5,54,202,2,86,253.4,0.5,1,25,0,0,0.05,0.1,2.5,0,
Ikan bambangan,73.7,112,20,1.3,3.7,0,1.3,98,120,3,148,258.7,0,0.1,0,0,0,0.07,0,0.3,0,
Ikan bandeng ,74,123,20,4.8,0,0,1.2,20,150,2,67,271.1,0,0.9,45,21,,0.05,0.1,6,0,
Ikan banjar ,73.5,111,19.4,0.9,4.8,0,1.4,68,278,7.3,99,338.7,0.2,0.6,0,62,0,0.03,0.2,7.3,0,
Ikan baronang ,80,78,14.5,0.6,3.7,0,1.2,26,521,3.8,26,692,4.7,4.1,732,0,,0.2,0.04,3,0,
Ikan batung ,75.7,115,14.5,4.6,4.2,0,1.1,,207,0,42,361,0.2,0.9,,0,,1.2,0.04,1.1,,
Ikan baung ,74.9,123,15.1,5.5,3.3,0,1.2,5,146,1.3,32,349,0.1,0.7,,0,,0.2,0.03,1.2,,
Ikan bawal ,78,91,19,1.7,0,0,1.3,20,150,2,129,233.3,0.1,0.3,45,0,,0.05,0.1,1.8,0,
Ikan Belida ,79.2,80,14.7,1.4,2.2,0,2.3,303,315,1.3,41,356,0,0.8,,0,,1.2,0.14,1.4,,
Ikan beunteur ,70,109,17,4,0,0,9,500,500,1,109,323.5,0.6,1.3,45,,,0.05,0.1,2.6,0,
Ikan biawan ,79.1,90,14.9,2.5,2.1,0,1.4,125,265,1,35,207,0.4,0.6,,,,0.36,0.03,2.9,,
Ikan bili ,68.3,88,14.2,0.7,6.2,0,10.6,27,1760,1.5,217,202,0,4.1,,0,,0.72,0.09,2.7,,
Ikan bubara ,75.5,100,14.7,2.4,4.9,0,1.6,90,90,0.4,390,390,0.7,0.8,,,,,,,,
Ikan bulanbulan,66.7,134,25.5,1.3,5,0,1.5,29,29,0.5,197,489,0.1,0.5,,,,0.3,0.02,0.8,,
Ikan cakalang ,73,107,19.6,0.7,5.5,0,1.2,23,242,2.9,66,239,0.2,0.6,386,0,,0.17,0.05,21.7,0,
Ikan cakalang hati,73.4,120,11.3,3.9,10,0,1.4,30,30,0.9,420,280,1.6,4.3,,,,,,0.2,,
Ikan cakalang jantung ,76.3,116,11.2,1.2,10.2,0,1.1,10,40,3.4,360,250,0.5,1.9,908,,,,,0.1,0,
Ikan cakalang perut,79.1,86,10.2,1.1,8.7,0,0.9,20,110,2.1,230,210,0.3,9.3,,,,0.24,,0.3,,
Ikan daun ,78.6,101,11.5,4.1,4.6,0,1.2,80,210,0.8,120,270,0.1,0.9,0,,,0.08,0.07,0.1,0,
Ikan ekor kuning,74.1,108,22.3,1.2,2.1,0,0.3,30,220,0.5,50,230,0.1,0.6,40,29,,0,0.1,0.2,,
Ikan gabus ,79.6,80,16.2,0.5,2.6,0,1.1,170,139,0.1,65,254,0.3,0.4,335,,,0.4,0.2,0.1,,
Ikan heu ,75.6,81,10,1.6,6.6,0,6.2,1910,990,2.1,240,210,0.1,2.7,,,,0.87,,0.2,,
Ikan hitam ,78.2,101,10.3,3.7,6.7,0,1.1,50,140,0.4,70,210,,0.4,67,,,0,0.1,0.1,,
Ikan hiu ,85.7,57,10.7,0.3,2.2,0,1.1,75,206,2,,,0.02,,,,0,0.05,,,0,
Ikan kacangan ,80.7,77,15.6,0.9,1.6,0,1.2,94,170,1.7,,,,,18,,0,0.07,,,0,
Ikan kakap ,77,92,20,0.7,0,0,2.3,20,200,1,,,,,9,,,0.05,,,0,
Ikan kakatua ,79.7,82,11.4,1.2,6.4,0,1.3,20,160,0.4,90,300,0.1,0.3,18,,,,,0.2,,
Ikan kalaban ,80.3,77,16.4,0.7,1.3,0,1.3,182,248,0.9,40,334,0.7,0.8,,,,0.16,0.15,1.9,,
Ikan kamera (kakap merah) ,78.5,86,19.7,0.8,0,0,1.3,50,170,0.3,90,290,0.3,0.1,26,,,,0.08,0.1,,
Ikan kapar ,74.2,132,17,6.7,0.8,0,1.3,151,272,1.2,78,229,0.9,0.7,,,,0.07,0.03,,,
Ikan kawalinya ,76.1,110,12.6,4.2,5.4,0,1.7,80,300,1.5,340,300,0.2,1.4,146,,,,,0.2,,
Ikan kerukeru ,77.2,93,16.5,2.1,0.8,0,3.4,65,217,2.4,137,255.3,0.34,0.7,0,,0,0.01,0.09,1.6,0,55
Ikan kima ,82.1,70,10.8,0.7,5.2,0,1.2,53,72,2,342,101,0.5,0.5,401,,,0.22,0.05,5.8,,
Ikan lais ,65,161,11.9,11.5,2.4,0,9.2,70,237,0,,,,,0,,0,0.05,,,0,62
Ikan layang ,74,109,22,1.7,0,0,2.3,50,150,2,,,,,45,0,,0.05,,,0,80
Ikan layur ,80.1,82,18,1,0.4,0,0.5,48,229,2.2,,,,,4,,0,0.04,,,0,49
Ikan lehoma ,77.6,90,20.4,0.9,0,0,1.1,88,270,0.7,56,281,0.3,0.9,1047,,,0.32,0.03,0.2,,
Ikan lemuru ,76,112,20,3,0,0,1,20,100,1,,,,,30,0,,0.05,,,0,80
Ikan lidah ,78.3,104,15.6,3.2,2,0,0.9,30,143,2,,,,,33,,0,0.03,,,0,
Ikan malalugis ,75.6,99,20.6,1.4,0.9,0,1.5,164,330,0.5,76,282,0.2,0.9,661,,,0.3,0.02,0.5,,
Ikan mamar merah,75,115,15.3,4,4.4,0,1.3,60,190,1.6,120,240,0.2,1,,,,0.2,0.1,0.1,,
Ikan mas ,80,86,16,2,0,0,2,20,150,2,65,276.7,0.1,1.1,45,8,,0.05,0.1,2.6,0,80
Ikan mayong ,78.2,97,17.9,2,0.4,0,1.5,40,100,2.5,,,,,21,,0,0.1,,,0,89
Ikan mujahir ,79.7,89,18.7,1,0,0,1.1,96,209,1.5,51,265.8,0,0.2,6,3,5,0.03,0.1,2,0,80
Ikan nasu metti ,65.3,154,16.8,5,10.5,0,2.4,80,244,1.6,421,488,0.2,1.2,,,,0.47,0.15,9.6,,
Ikan oci kembung,71.4,125,21.3,3.4,2.2,0,1.7,136,69,0.8,214,245,0.2,1.1,,,,0.26,0.03,0.2,,80
Ikan paling ,58,303,14,27,0,0,1,20,200,1,43,,,,485,0,,0.1,,,2,100
Ikan papuyu/ betok,75,120,14.3,4.9,4.6,0,1.2,329,436,1.5,240,169,0.8,1.1,,0,,0,0.05,3.1,,
Ikan patin ,74.4,132,17,6.6,1.1,0,0.9,31,173,1.6,77,346,0.7,0.8,,7,,0.2,0.03,1.7,,
Ikan pomo ,68.3,147,22.5,5.2,2.6,0,1.4,80,230,1.3,,380,0.2,0.7,89,,,,,,,
Ikan puntin ,81.1,76,14.4,1.1,2.2,0,1.2,28,166,0,,325,0.1,0.6,,,,0.31,0.11,,,
Ikan saluang ,74.8,113,13.9,4.9,3.4,0,3,642,646,1.9,51,182,0.8,3.6,,,,0.21,0.02,1.8,,89
Ikan sarden ,72.7,109,19.9,1.8,3.4,0,2.2,95,597,1.3,266,227,0.3,2,195,0,,0.26,0.03,4.4,,
Ikan selar ,75.4,100,18.8,2.2,0,0,3.6,40,179,0.5,43,392.6,0.1,0.3,45,0,,0.37,0.2,3.4,0,48
Ikan sepat ,78.8,84,15.2,0.6,4.7,0,0.8,68,171,2.1,211,198,0.7,0.6,,0,,0.16,0.03,1.9,,75
Ikan sidat ,71.3,81,11.4,1.9,3.8,0,11.6,118,174,3,46,245.9,0,1.5,15,0,0,0,0.4,3.2,0,100
Ikan sunu ,75.5,111,13.3,3.4,6.7,0,1.1,86,174,1.2,91,197,0,0.6,309,,,01.03,0.1,0.2,,70
Ikan tahuman ,77.4,88,15.9,0.9,4.1,0,1.8,221,223,0,24,364,0.4,0.7,,,,0.2,0.25,1.6,,
Ikan tarmon ,76.7,96,19.5,1.1,2,0,0.8,9,129,0.3,43,154,0.1,0.5,,,,0.15,0.02,1.7,,
Ikan telan ,75.3,95,15.8,0.7,6.5,0,1.7,503,354,0.2,58,294,1.6,1.2,,,,0.18,0.02,1.9,,
Ikan tembang ,65,204,16,15,0,0,4,20,200,2,341,291,0.4,2.6,30,0,,0.05,0,5.6,0,80
Ikan tempahas ,78.9,101,15.1,4.1,1,0,0.9,32,163,0,50,320,0.7,0.6,,,,0.02,0.05,1.5,,
Ikan terbang ,76.1,98,19.6,1.7,1,0,1.6,90,190,0.6,90,320,0.1,0.5,39,0,,0,0.1,0.1,,
Ikan teri ,80,74,10.3,1.4,4.1,0,4.2,972,253,3.9,554,126.1,305.2,0.2,13,0,28,0.24,0.1,1.9,0,100
Ikan titang ,78.8,82,17.4,0.4,2.3,0,1.1,145,130,1.8,110,275,0.1,0.8,581,,,0.64,0.03,1.5,,
Ikan tongkol ,74.7,100,13.7,1.5,8,0,2.1,92,606,1.7,202,227,0.2,1.6,181,0,,0.35,0.03,6.6,,100
Ikan turi ,76.9,96,19.2,2,0.2,0,2.1,340,340,0.8,370,300,0.1,2,26,,,,,,,
Keong ,81,64,12,1,2,0,4,217,78,1.7,231,,0.37,0.1,0,244,,,,,,46
Kepiting ,68.1,151,13.8,3.8,14.1,0,0.2,210,250,1.1,,,,,61,,,0.05,,,0,45
Kerang ,78.2,101,14.4,2.6,3.9,0,0.9,321,270,15.6,,,,,0,,0,0.01,,,0,100
Kodok ,81.9,73,16.4,0.3,0,0,1.4,18,147,1.1,,,,,0,,,0.14,,,0,65
Kurakura ,80,83,19.1,0.2,0,0,0.7,27,87,0.7,,,,,0,,,0.2,,,0,70
Kuro ,79.9,87,16,2.2,1,0,0.9,75,136,1,,,,,6,,0,0.04,,,0,52
Lokan ,80.9,217,11,1.7,5.1,0,1.3,20,390,10.9,3,7,0.2,2.7,,,,0.45,0.07,,,
Rajungan ,80.2,76,12.1,2,2.4,0,2.7,721,214,2.2,69,192,1.7,2.9,599,40,,0.2,0.25,0.2,,
Rebon udang kecil,79,81,16.2,1.2,0.7,0,2.9,757,292,2.2,169,202.9,0.7,1.2,18,0,,0.04,0.1,2.4,0,100
Rusip,58.5,110,11.5,2,11.7,0,16.3,479,348,7.1,,,,,0,,0,0.04,,,0,100
Udang galah ,79,81,16.5,0.3,3,0,1.2,87,167,0.7,95,132,0.7,1.2,,3,,0.24,0.03,2.9,,68
Udang besar ,85.5,56,11.4,0.6,1.2,0,1.3,30,20,0.3,190,210,0.4,0.8,,0,,0.14,0,0.1,,68
Udang ,75,91,21,0.2,0.1,0,3.7,136,170,8,178,222.4,0.3,1.3,18,4,,0.01,0.4,3.7,0,68
Bekicot dendeng mentah,6.7,441,48.7,20.3,15.8,0,8.4,692,523,16.6,,,,,6,,1408,0.56,,,69,100
Belut goreng,11.2,417,25.9,19.4,32,0,11.5,840,872,4.9,71,217.7,0.3,1.8,0,,0,0,0.2,10.5,0,
Cumicumi goreng,54.2,265,40.6,10.1,0,0,3.1,62,270,2.7,86,81.9,,,0,56,0,0.09,0,6.3,0,
Ikan asin kering,40,193,42,1.5,0,0,16.5,200,300,0,,,,,,,,0.01,,,0,70
Ikan bandeng presto masakan,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,,,,,6,0,400,0.14,,,69,100
Ikan baung bakar,69.8,144,17.8,5.8,5.2,0,1.4,18,169,0,168,236,0.1,0.7,,,,0,0,1.3,,
Ikan Belida bakar,68.2,128,18,3,7.2,0,3.6,58,134,0,293,198,0.1,0.4,,0,,1.8,0.17,1.5,,
Ikan cakalang asap mentah,56.9,204,34.2,5.6,1.9,0,1.4,14,399,1.3,176,588,0.3,0.7,1546,,,0.53,0.07,,,70
Ikan cakalang asin mentah,41.7,198,36.5,2.2,5.5,0,14.1,236,346,3.7,4304,302.1,,,0,,0,0.06,,,0,70
Ikan calo/ peda mentah,71.3,81,11.4,1.9,3.8,0,11.6,743,174,22.6,,,,,15,,0,0,,,0,100
Ikan Gabus asap mentah,26.4,261,38.1,2.3,21.9,0,11.3,2510,1840,2.9,320,410,0.4,0.8,114,,,0.1,0.1,14.5,,80
Ikan Gabus kering,24,268,58,4,0,0,14,15,100,0.1,,,,,30,,,0.1,,,0,80
Ikan gete goreng,44.7,267,23.1,19.4,0.2,0,12.6,2340,1240,0.8,590,440,0.1,1.9,,,,,,0.2,,
Ikan hiu kering,23.1,298,46.3,3.6,20.2,0,6.8,335,846,2.5,957,1457,0.5,2,661,,,0.84,0.11,22.5,,
Ikan katombo asin,44.7,162,31.7,2.8,0.3,0,15.5,279,609,4.6,4393,342.2,2.8,,0,,0,0.09,,,0,70
Ikan kayu kering,23.1,302,70.7,1.9,0.4,0,3.9,313,22,4.1,345,1045,,1.8,,,,1.4,0.04,20,,
Ikan Lais bakar,69.4,147,17.5,6.5,5.4,0,1.2,54,194,0.1,142,209,,0.5,,,,,,,,
Ikan lomak asin mentah,21.6,258,40.3,2.3,18.9,0,16.9,140,279,2.3,6227,485.1,2.3,,,,,0.1,0.3,6,,
Ikan Mas pepes,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,,315,0.13,0.1,2.4,0,100
Ikan mujahir goreng,44.7,416,46.9,23.9,0,0,2.2,346,654,0.9,54,278.9,0,0.2,12,3,8,0.12,0.1,2.2,0,100
Ikan Mujahir pepes,73.7,121,21.7,2.8,0.8,0,1,83,248,1.6,58,265.8,0,0.3,8,,6,0,0.1,1.9,0,100
Ikan mujahir dendeng mentah,15.2,582,68.3,15.2,37.2,0,14.1,3258,1699,4.3,,,,,15,,20,0.27,,,0,100
Ikan Papuyu bakar,66.6,152,17.6,6.1,6.7,0,3,244,227,3.4,320,224,0.2,1,,,,,,,,
Ikan Patin bakar,70.3,144,17.5,6.3,4.3,0,1.6,191,232,1.4,379,230,0.1,0.7,,,,,,,,
Ikan peda banjar mentah,46,156,28,4,2,0,20,174,316,3.1,59,368.8,0,0.5,33,4,,0.1,0.1,4.7,,90
Ikan pepetek mentah,33,176,32,4.4,2,0,28.6,120,200,1,79,1,,,15,,,0.05,0.1,2.4,0,
Ikan Pindang banjar mentah,59,157,28,4.2,1.8,0,7,50,100,1,,,,,45,,,0.1,,,0,
Ikan Pindang benggol mentah,57,170,31,4.2,0,0,7.8,50,100,1,,,,,45,,,0.1,,,0,
Ikan Pindang layang mentah,60,153,30,2.8,0,0,7.2,60,200,3,,,,,61,,,0.07,,,0,
Ikan Pindang selar mentah,60,142,27,3,0,0,10,60,200,3,,,,,61,,,0.07,,,0,
Ikan sale mentah,8.5,534,40.2,39.3,4.9,2,7.1,199,1244,2.7,673,673,0.3,2.6,,410,0,0.02,0.5,0,0,100
Ikan sale lais mentah,12.4,415,61.3,17.6,2.9,0,5.8,258,919,7,381,488,17.6,1,0,,0,0.03,0.1,17.3,0,
Ikan saluang kering mentah,33.6,284,34.1,9.9,14.6,0,7.8,1426,1103,9.5,1767,263,1.3,18.7,,,,0.49,0.03,,,
Ikan sanggang masakan,42.6,240,21.7,7.7,20.7,0,7.3,159,362,9.8,2041,159,1.5,8.8,,,,0.51,0.02,,,
Ikan selar kuning cue mentah,59,138,27,3.3,0,0,0.7,50,100,2,,,,,45,,,0.1,,,0,90
Ikan selar kering mentah,43,194,38,3.5,0,0,15.5,20,200,1,,,,,0,0,,0.01,,,0,
Ikan sepat kering mentah,30,289,38,14,0,0,18,40,100,0.7,,,,,0,0,,0,,,0,
Ikan sunu asin mentah,34.7,199,34.1,3.8,7.1,0,20.3,94,92,2.2,377,57,0.1,3.2,2481,,,1.5,0.13,7.2,,
Ikan tepung mentah,4.3,316,60.1,6.5,22.4,0,6.7,3196,1976,16.6,,,,,320,0,0,0,,,0,
Ikan Teri nasi kering mentah,34.5,144,32.5,0.6,0,0,32.4,1000,1000,3,312,,,,61,,,0.1,,,0,
Ikan Teri bubuk mentah,15,277,60,2.3,1.8,0,20.9,1209,1225,3,,,,,90,,,0.1,,,0,
Ikan teri kering mentah,37.8,170,33.4,3,0,0,25.8,1200,1500,3.6,,,,,64,,,0.15,,,0,
Ikan Teri kering tawar mentah,16.7,331,68.7,4.2,0,0,10.4,2381,1500,23.4,,,,,61,,,0.1,,,0,
Ikan Teri tepung mentah,5.2,347,48.8,6.4,19.6,0,20,4608,1200,18.6,,,,,61,0,130,1.12,,,0,
Kerang asap mentah,9.3,393,38.9,13.3,29.4,0,9.1,420,410,8.5,160,50,0.6,3.7,,,,0.3,1.7,0.2,,100
Kerang dendeng mentah,18.3,357,41.1,10,25.6,0,5,217,904,5.2,,,,,0,,329,0.27,,,0,100
Rebon kering mentah,21.6,299,59.4,3.6,3.2,0,12.2,2306,625,21.4,,,,,0,0,,0.06,,,0,
Rebung laut mentah,18.2,320,7.2,4.2,63.3,0,7.1,240,570,6.6,20,1040,1.5,6.2,917,,,0,0,4.9,,
Sardines dalam kaleng,47.1,338,21.1,27,1,0,3.8,354,434,3.5,,,,,76,0,,0.1,,,0,
Teripang dendeng mentah,12.5,462,39.1,32.4,3.5,0,12.5,499,616,96.4,315,402.5,,,2,0,144,1.37,0,5.3,0,100
Udang kering mentah,14.9,278,62.6,4.1,2.2,0,16.2,760,510,5.2,540,360,2.4,3.2,39,,,,,0.1,,
Udang papay mentah,24.5,273,47.8,3.8,12.5,0,11.5,1109,789,2.4,651,802,2.6,10.8,,,,,,,,
Abon haruwan,11.6,513,23.7,37,21.3,0,6.4,25,25,0.5,61,15,0,0.2,,,,,,,,100
Abon ikan,6.4,435,27.2,20.2,36.1,0,10.1,,,,,,,,,,,,0.8,24.3,,100
Betok wadi masakan,69.2,145,16.3,7,4.1,0,3.4,405,523,1.8,69,203,1,1.3,,,,0.22,,,,
Bou ninahu ndamate masakan,79.5,79,6.3,1,1.1,0,2.1,,,,67,,,,691,,,0.1,0,0.1,,
Bouiki ninahu nggaluku masakan,73.9,94,7.8,2.2,10.8,0,5.3,,,,58,179.4,,1.5,,,,0.5,0.03,2.4,,
Cakalang asar (asap),64.3,155,20.1,3.8,10.2,0,1.6,20,240,2.1,90,390,0.3,0.1,86,,,,0.7,0.2,,
Dendeng belut goreng masakan,8.2,382,55.7,14.1,8,0,14,1069,654,15.4,,,,,28,,1480,0.48,,,0,
Dendeng mujahir goreng masakan,6.5,598,74.3,26.9,9.2,0,13.1,1957,1447,7.4,,,,,18,,25,0.19,,,0,
Fillet ofish,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,,,,34,,580,0.59,,,0,
Gete kuah asam masakan,80.1,75,8.2,2,6,0,3.8,1620,880,0.8,260,150,0.1,1.5,,,,,,0.1,,
Gulai asam keueung masakan,86,52,10,0.5,1.8,0,1.7,62,102,0.3,332,141,0,1,,,,0.18,0.34,,,
Gulai ikan masakan,75.7,106,16.5,3.3,2.5,0,2,306,196,4.8,743,,,,86,,2760,0.32,,,0,
Gulai ikan paya masakan,72.1,148,10,9.8,5,0,3.1,103,82,0.7,525,256,0.1,0.9,,,,0.26,0.02,,,
Gulai keumamah masakan,81.4,110,5.9,8.2,3.2,0,1.3,32,96,1,335,121,0.2,0.9,,,,0.33,0.04,,,100
Gulai tiram masakan,73.1,132,9,7.2,7.8,0,2.9,53,134,3.7,285,133,1.1,0.7,389,,,0.29,0.12,,,
Gurame asem manis masakan,63.1,192,12.7,10.1,12.7,0,2.4,283,169,1.1,,,,,19,,1440,0.1,,,0,
Ikan asar merah masakan,69.2,146,17.7,5.9,5.6,0,1.6,100,240,4,170,310,0.3,1.4,224,0,,,,,,
Jambal goreng masakan,13.4,286,48.5,9.2,2.3,0,26.6,207,457,3.3,,,,,109,,160,0.4,,3.1,0,
Jukku pallu kaloa masakan,69.4,15,15.2,4.3,8.8,0,2.3,40,170,1.1,605,153,0.6,1.1,,,,0.3,0.14,7.5,,
Kaholeo masakan,11.2,413,28.7,19.8,29.8,0,10.5,909,1291,0,0,1171,0.1,3.1,4236,,,1.34,0.03,5.7,,
Lawara penjah,64.5,207,7.4,15.4,9.6,0,2.9,114,219,5.9,683,117,0.5,0.7,0,38,,0.19,0.04,,14,100
Model masakan,83.9,79,2.2,4,8.6,0,1.3,8,33,0.8,147,34,0.1,0.5,,,,0.16,0.02,,,
Mujahir acar kuning masakan,43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,,,,,24,,4130,0.15,,,0,
Parede baleh masakan,80,87,10.5,2.5,5.5,0,1.5,35,215,0.9,416,59,0.1,0.2,,,,0.24,0,0.7,,
Pempek adaan masakan,62.6,162,4.9,3,27.8,0,1.7,26,116,1,488,119,0.1,0.2,,,,0.3,0.03,1,,
Pempek belida masakan,61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,,,,,0,,0,0.03,,,0,
Pempek kapal selam masakan,63.4,152,4.5,2.3,28.2,0,1.6,19,115,1.6,628,91,0.1,0.2,,,,0.2,0.03,1,,
Pempek kelesan masakan,53,211,12.3,6.1,26.6,0.4,2,840,176,1.8,,,,,14,,888,0.25,,,0,
Pempek kulit masakan,45.7,243,5.2,7.3,39.1,0,2.7,16,96,2,555,102,0.1,0.6,,,,0.2,0.02,0.9,,
Pempek telur masakan,62.4,156,4.7,2.7,28.3,0,1.9,13,83,1.3,448,48,0.1,0.6,,,,0.2,0.05,1.1,,
Pempek tenggiri masakan,56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,,,,,0,,0,0.02,,,0,
Pencok lele masakan,47.5,372,7.8,36.3,3.5,0,4.9,289,295,5.3,,,,,64,0,"12070.
 0",0.12,,,0,
Pinda,71,107,15.9,0.6,0.4,0,3.1,375,336,1.9,526,330,0.2,1,896,,,0.89,0.05,0.5,,
Pindang kenari masakan,80.1,124,9.5,9.6,0,0,2.8,120,220,1.3,370,270,0.3,1.2,18,381,,,,0.1,,
Saboko gurita masakan,76.2,87,15.7,1.5,2.6,0,4.1,60,14,2.1,200,180,0.9,4,38,,,,,,,
Saboko saltan masakan,76,113,17.1,3.6,3,0,0.3,240,60,0.5,40,350,0.2,0.6,27,,,,,0.1,,
Saboko sardin masakan,70,110,12.9,4.3,4.9,0,7.9,220,520,6,200,280,0.2,3.9,37,,,,,,,
Sate Bandeng,47.1,283,12.1,16.8,20.9,2,3.1,118,186,1.2,543,199,0.2,0.9,,2,0,0.02,0.02,0,0,82.4
Sepi masakan,66.1,88,7.9,1.6,10.6,0,13.8,924,350,2.3,873,258,1,1.1,783,,,,,,,
Tekwan masakan,86.7,53,1.9,0.9,9.4,0,1.1,9,41,1,174,42,0,0,99,,,0.1,0.02,0.4,,
Teri belado masakan,25.8,365,23.7,22.3,17.5,0,10.9,869,348,4,,,,,27,,1567,0.13,,,0,
Tumis bandeng masakan,70.5,189,11.3,15.7,0.6,0,1.9,56,129,0.4,314,280,0.1,0.7,579,,,0.46,0.02,,,
Tumis keumamah,45.7,300,14.5,20,15.5,4.5,4.3,,,,,,,,,8,,0.63,0.04,,7,100
Telur ayam kampung,73.1,174,10.8,14,1.2,0,0.9,68,268,4.9,190,141,0.6,1.5,203,23,125,0.78,0.62,0.2,,87
