Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
"Apem, cake",63.1,148,2,0.5,33.9,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Biscuits,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,-,14,-,0.09,0.15,1.4,-,100,Processed,Cereal
"Bakpia, cake",38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,"1,392",0.31,1,2.9,-,100,Processed,Cereal
Bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,-,-,-,-,-,-,-,0.08,-,-,-,100,Processed,Cereal
Pillow,52.3,190,3.3,0.3,43.5,3.4,0.6,9,-,0.4,164,84,0.2,0.9,-,-,-,0.27,0.02,3.6,-,100,Processed,Cereal
Baruasa,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Batar daan,75.3,107,2.2,2.2,19.6,-,0.7,20,30,0.6,200,90,0.1,-,-,-,-,0.18,0.02,-,-,100,Processed,Cereal
Bika Ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,-,-,408,0.1,-,-,-,100,Processed,Cereal
Bingka,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Bobengka,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Bolu Peca,55.6,197,3.3,4.6,35.6,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Brem,37.4,249,3.4,0.4,58,-,0.9,198,86,2,-,-,-,-,-,-,240,0.34,-,-,-,100,Processed,Cereal
Tinotuan porridge (Manado),80.9,156,2.3,0.2,15.6,8.2,1,41,20,0.4,486,164,0.3,0.4,-,"1,437",-,0.1,0.04,-,15,100,Processed,Cereal
Cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,-,-,-,-,26,-,"1,872",0.38,0.16,0.3,-,100,Processed,Cereal
Cangkuning,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Bali Dodol,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,-,-,-,-,-,-,496,0.28,-,2.5,-,100,Processed,Cereal
Galamai Dodol,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76,0.3,2.1,-,-,-,0.03,0.06,1.8,-,100,Processed,Cereal
Kedondong dodol,26.4,331,1.9,7.6,63.8,1,0.4,90,55,2.3,-,-,-,-,-,-,408,0.11,-,0.8,5,100,Processed,Cereal
Manado Dodol,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72,0.3,2.1,-,-,-,0.04,0.06,2.1,-,100,Processed,Cereal
Rice chips,13.6,403,10.6,2.2,85.3,0.2,1.9,11,240,0.3,1,113,0.3,2.4,-,-,-,-,0.16,-,-,100,Processed,Cereal
Gemblong,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Fried Gendar,30.4,407,6.4,28.2,32,0.1,3,216,62,1.6,-,-,-,-,-,-,184,0.16,-,0.6,-,100,Processed,Cereal
Fried peek,6.5,474,7.6,21.6,62.3,1.2,2,36,64,2.5,-,38,0.05,0.5,-,-,200,0.25,0.03,0.8,-,100,Processed,Cereal
Gerontol corn,61.7,156,2.7,1.3,33.3,1,0.8,51,105,1.2,-,-,-,-,-,-,162,0.08,-,-,-,100,Processed,Cereal
Titi corn,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,-,-,9,-,-,-,"11,507",0.2,-,-,-,100,Processed,Cereal
Japilus,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,-,-,-,-,-,-,-,0.17,0.03,0.4,-,100,Processed,Cereal
Kakicak,43.9,296,3.4,15.1,36.7,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Kambose,61.5,164,3,2.4,32.6,4.3,0.7,16,36,0.7,-,32,0.1,1.6,-,256,-,0.1,0.1,0.4,-,100,Processed,Cereal
Kapusa,63.5,158,4.4,3.2,27.8,5.3,1,79,115,1.2,104,149,0.5,1.1,-,"1,374",-,0.06,0.05,0.1,-,100,Processed,Cereal
Keddo bulging,33.9,290,4.6,5.7,55.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
"Kelepon, cake",49.6,215,3.7,3.7,41.8,1,1.2,232,45,3.3,-,-,-,-,-,-,872,0.09,0.07,0.2,-,100,Processed,Cereal
Wrinkles,3.5,580,4.8,39.6,51.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Ketoprak,69.1,153,7.9,7.7,13,2.9,2.6,153,134,3.4,-,-,-,-,3,-,435,0.05,-,-,-,100,Processed,Cereal
Ketupat kandangan,78.5,109,2.2,5.2,13.4,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Koya,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Koya Mirasa,7.2,370,8,1,82.2,0.4,1.6,83,110,17,-,-,-,-,3,-,144,0.19,0.45,2.6,-,100,Processed,Cereal
Koyabu,44.2,241,3.4,4.3,47.2,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Ali cake,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,-,-,-,-,-,-,-,0.13,0.09,-,-,100,Processed,Cereal
Bangen cake,5.6,442,3.3,14.7,74.2,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Bracelet cake,7.1,448,5.8,16.1,70,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Ginger cake,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4,-,-,-,-,-,-,-,0.2,-,-,-,100,Processed,Cereal
Coconut Cake,3.3,591,5.6,42.1,47.5,-,1.5,32,180,1.6,33,443,0.5,1.1,-,-,-,-,-,-,-,100,Processed,Cereal
Koa cake,14.5,340,4.8,0.4,79.3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Ku temu cake,46.2,214,3.5,0.2,49.6,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Mud / Lumpur cake,40.1,291,3.6,11.1,44.1,-,1.1,96,60,2.3,-,-,-,-,20,-,400,0.24,-,-,-,100,Processed,Cereal
Pelita cake,71,141,5.3,5.5,17.6,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Cuppa putu cake,32.6,304,5.3,7,54.9,0.9,0.2,18,193,4,-,-,-,-,-,-,-,0.06,-,-,-,100,Processed,Cereal
Eclairs,56.6,221,7.5,10.2,24.8,-,0.9,105,85,2.5,-,-,-,-,26,-,"1,300",0.12,-,-,-,100,Processed,Cereal
Thipan cake,43,247,2.9,4.2,49.5,-,0.4,16,107,1.8,95,56,1.3,0.8,-,-,-,0.17,-,-,-,100,Processed,Cereal
Laksa/Putu mayang,73.2,121,1.7,3.4,21.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Lapis legit,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,-,-,-,-,41,-,"1,032",0.26,0.09,3,-,100,Processed,Cereal
Sticky rice Lupis,61,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,-,-,-,-,-,-,-,0.09,-,0.2,-,100,Processed,Cereal
Manan Samin,27.1,379,3.4,18.1,50.6,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Indian Martabak,65.8,153,4.5,4.2,24.3,-,1.2,14,108,2.4,240,112,0.4,0.5,-,-,-,-,-,-,-,100,Processed,Cereal
Egypt Martabak,40.2,278,5.1,8.6,45,-,1.1,49,168,3.4,193,123,0.2,0.9,-,-,-,-,-,-,-,100,Processed,Cereal
Masekat,15.6,369,2.1,7,74.1,4,0.8,17,52,0.8,141,12,0.4,0.3,155,-,-,-,-,-,-,100,Processed,Cereal
Acehnese boiled noodles,74.6,113,3,3.2,18.1,-,1.1,22,44,1.4,191,36,0.2,0.3,-,-,-,-,-,-,-,100,Processed,Cereal
Chicken noodle,78.6,102,6.2,3.9,10.5,-,0.8,262,51,1.8,279,-,-,-,39,-,166,0.85,-,-,-,100,Processed,Cereal
Meatball noodles,74.5,114,5.3,3,16.4,0.1,0.8,286,53,1.9,760,-,-,-,17,-,180,0.16,-,-,-,100,Processed,Cereal
Celon noodles,75.9,102,3,2.1,17.8,-,1.2,12,84,1.4,451,112,0.1,0.5,-,-,-,-,-,-,-,100,Processed,Cereal
Soggy dumpling noodles,79.2,105,5.9,4.9,9.4,-,0.7,208,48,2,530,-,-,-,25,-,620,0.46,-,-,-,100,Processed,Cereal
Fat rice,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1,355,63,0.2,1.4,-,-,-,0.19,0.05,2,-,100,Processed,Cereal
Savory rice,60.5,190,4.7,7.5,26,0.7,1.3,12,62,0.8,296,52,0.2,1.2,-,-,-,0.11,0.06,2.1,-,100,Processed,Cereal
Oil rice,53.3,207,3.5,5,37.1,0.8,1.1,26,100,1.5,74,174,0.2,2.2,-,-,-,0.14,0.07,2.6,-,100,Processed,Cereal
Rames rice,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,265,-,-,-,96,-,"3,140",0.59,-,-,-,100,Processed,Cereal
Nopia special,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,-,-,-,-,-,-,512,0.17,-,-,-,100,Processed,Cereal
Boiled rice cake,27.7,336,4,9.8,57.9,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Padamaran,67.6,171,3.9,8.9,18.8,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Pastel,38.3,307,4.5,13.3,42.4,-,1.5,296,53,2.5,-,-,-,-,-,-,"5,360",0.15,-,-,-,100,Processed,Cereal
Pulut,49.1,216,2.6,3.1,44.4,-,0.8,6,70,3.8,100,22,0.4,1.3,-,-,-,0.14,-,-,-,100,Processed,Cereal
Rice Pundut,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Selat Princess,66.6,163,2.2,6.5,23.8,-,0.9,72,3,4,6,68,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Putu Sopa,50.7,215,3.3,4.1,41.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Fried Renggi,8.8,471,4.7,21.8,64.1,6.4,0.6,4,80,1.1,126,29,0.9,1.3,-,-,-,0.53,0.05,8.2,-,100,Processed,Cereal
Boong Bread,34,341,5.5,16.2,43.3,-,1,15,65,1.1,161,41,-,0.9,-,-,-,0.4,0.3,2.4,-,100,Processed,Cereal
Brown bread,40,249,7.9,1.5,49.7,-,0.9,20,140,2.5,500,91,-,-,-,-,-,0.15,-,-,-,100,Processed,Cereal
Sarimuka,61.5,166,2.3,2.8,32.9,-,0.5,36,13,2,3,34,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Spaghetti,66.1,139,7.4,2.1,22.6,-,2.1,109,53,4.7,-,-,-,-,42,-,940,0.35,-,-,-,100,Processed,Cereal
Srikaya sticky rice,41,265,2.7,6.4,49.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Sunduk Lawang,63.4,181,1.9,1.3,32.4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
Suwir-suwir,13.4,347,0.5,0.9,84.2,0.8,1,42,40,4.3,-,-,-,-,1,-,240,0.13,-,0.9,-,100,Processed,Cereal
Tipa-tipa,11.3,355,6.2,1.2,79.8,1.3,1.5,17,328,1.6,-,-,-,-,-,-,-,0.26,0.04,1.5,-,100,Processed,Cereal
Wajit snack,27.1,303,6.3,2.7,63.3,6.9,0.6,61,302,5.5,-,-,-,-,-,-,-,0.03,-,-,-,100,Processed,Cereal
Widaran,7,424,1.3,10.7,80.7,0.2,0.3,49,88,2.5,-,-,-,-,21,-,440,0.13,0.2,2.2,-,100,Processed,Cereal
Wingko babat,29.7,355,3.2,15.1,51.4,2.4,0.7,47,63,1.1,-,-,-,-,-,-,-,0.08,0.08,-,-,100,Processed,Cereal
Yangko,37.4,254,3,1.1,58.1,0.8,0.4,184,24,2.6,-,-,-,-,-,-,96,0.15,-,-,-,100,Processed,Cereal
Green princess,54.8,189,5.4,2.1,37.2,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Cereal
"Ground Rice, raw",12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71,0.1,0.5,-,-,-,0.2,0.08,2.6,-,100,Single,Cereal
"Ground Rice, Pelita, raw",11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,-,-,-,-,-,-,0.26,-,-,-,100,Single,Cereal
"Ground Rice, Rojolele, raw",12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,-,-,80,0.2,0.02,1.5,-,100,Single,Cereal
"Black Rice, raw",12.9,351,8,1.3,76.9,20.1,0.9,6,198,0.1,15,105,0.1,1.6,-,-,-,0.21,0.06,-,-,100,Single,Cereal
"Yellow Corn Rice, dried, raw",10.8,358,5.5,0.1,82.7,10,0.9,20,90,1.4,1,80,0.1,4.1,-,641,-,0.12,0.08,1,3,100,Single,Cereal
"White Corn Rice, dried, raw",22.5,307,4.8,0.1,71.8,10,0.8,17,78,1.2,1,70,0.1,3.5,-,301,-,0.15,0.07,0.9,-,100,Single,Cereal
"Mashed black sticky rice, raw",13.7,360,8,2.3,74.5,1,1.5,10,347,6.2,11,288,0.28,2.2,-,-,-,0.24,0.1,2,-,100,Single,Cereal
"Mashed white sticky rice, raw",12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282,0.28,2.2,-,-,-,0.28,-,1.4,-,100,Single,Cereal
"Field rice, raw",9.8,376,7.5,3.8,78,5.9,0.9,20,110,0.8,10,70,0.1,1.4,-,-,-,0.2,0.2,5.1,-,100,Single,Cereal
"Crude rice, raw",12,362,7.7,4.4,73,0.2,0.2,22,272,3.7,90,201,0.1,0.5,-,-,-,0.55,0.04,1.9,-,100,Single,Cereal
Parboiled rice,10,353,6.8,0.6,80,0.5,2.5,5,142,0.8,2,46,0.28,1,-,-,-,0.22,0.11,3.4,-,100,Single,Cereal
"Mashed rice, raw",11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85,0.5,1.5,-,-,-,0.25,0.22,5.1,-,100,Single,Cereal
"Red Mashed Rice, raw",14.6,352,7.3,0.9,76.2,0.8,1,15,257,4.2,10,202,0.36,1.9,-,-,-,0.34,0.05,3.3,-,100,Single,Cereal
"Sorghum (Cantel), raw",11,366,11,3.3,73,1.2,1.7,28,287,4.4,7,249,-,-,-,-,-,0.09,0.14,2.8,-,100,Single,Cereal
"Corn, baby, yellow, raw",61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.8,-,113,261,0.24,0.05,0.8,9,100,Single,Cereal
"Yellow corn, dried, raw",11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.1,1.9,-,636,641,0.12,0.12,1.8,3,100,Single,Cereal
"Harapan Corn, dried, raw",11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.1,1.9,-,637,385,0.19,0.08,1,-,100,Single,Cereal
"Metro Corn, dried, raw",10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.1,1.9,-,642,554,0.16,0.08,1,-,100,Single,Cereal
"Job's tear / adlay, raw",23,324,11,4,61,3.1,1,213,176,11,24,-,0.1,0.4,-,-,-,0.14,0.08,1.8,-,90,Single,Cereal
"Italian millet, raw",11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,-,33,-,0.33,0.28,4.5,-,100,Single,Cereal
"Ragi millet (Jampang huma), raw",11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.7,1.6,-,33,-,0.51,0.3,0.7,-,100,Single,Cereal
"Coconut, sweet potato, roasted batatas",73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,12,230,0.2,0.3,-,-,-,1.13,-,-,-,85,Processed,Bulbs
"Coconut, sweet potato, steamed batatas",75.7,92,1.2,0.3,21,4.1,1.8,-,42,0.2,10,209,0.2,0.3,-,-,-,0.28,-,0.7,-,100,Processed,Bulbs
"Batatas, sweet potatoes, boiled",53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,20,402,0.3,0.6,-,-,-,0.27,-,1.3,-,100,Processed,Bulbs
"Belitung, taro, steamed",63.1,145,1.2,0.4,34.2,1,1.1,21,48,0.9,7,552.6,0.2,0.9,-,-,-,0.08,0.1,2.3,1,100,Processed,Bulbs
"Bentul, taro, steamed",81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,-,201,0.2,0.6,-,-,-,0.06,-,-,21,100,Processed,Bulbs
"Shrimp, sweet potatoes, steamed",77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6,584,0.2,0.2,-,-,-,0.03,-,0.4,-,100,Processed,Bulbs
"Canna, boil",74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,-,-,-,-,-,-,-,0.04,-,-,6,100,Processed,Bulbs
Steamed cassava,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2,345.3,0.3,0.1,-,-,-,-,-,0.3,20,100,Processed,Bulbs
"Suweg, taro, steamed",75.5,93,1.5,0.1,21.9,0.9,1,50,58,0.8,6,350.3,0.1,0.1,-,-,283,0.09,-,0.3,-,100,Processed,Bulbs
"Bogor taro, steamed",69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11,498,0.2,0.6,-,-,-,0.05,0.6,0.8,2,100,Processed,Bulbs
"Sweet potatoes, yellow, steamed",74.2,100,0.7,0.3,23.8,1,1,44,46,0.4,3,0.8,0.1,0.2,-,819,"4,427",-,0.1,0.6,16,100,Processed,Bulbs
"Ink sweet potato, steamed",58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1,0.9,0.1,0.2,-,-,-,0.02,0.1,0.5,-,100,Processed,Bulbs
"Bagea coconut, salted",3.5,450,3.2,13.9,78.1,-,1.3,38,38,0.3,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Processed,Bulbs
"Bagea coconut, sweet",3,452,1.3,13.8,80.6,-,1.3,38,39,0.3,75,-,0.2,0.2,-,-,0.3,-,-,-,-,100,Processed,Bulbs
"Bagea walnuts, salty",2.8,529,3.2,29.1,63.6,-,1.3,38,40,0.4,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Processed,Bulbs
"Bagea walnut, sweet",3.1,523,3.2,28.2,64.2,-,1.3,38,39,0.3,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Processed,Bulbs
Bagea kw 1,7.2,416,6.5,9.4,76.3,0.4,0.6,49,77,4.9,-,-,-,-,13,-,312,0.08,-,2.6,-,100,Processed,Bulbs
Bagea kw 2,7.9,382,0.3,3.5,87.2,0.9,1.1,172,120,7.6,-,-,-,-,-,-,-,0.02,-,-,-,100,Processed,Bulbs
Smart Rice,11.3,350,2.7,1.1,82.3,6.2,2.6,28,351,2.9,358,568,0.2,0.9,-,0.4,-,0.02,0.2,0.3,0.2,100,Processed,Bulbs
Canna rice,9.3,364,3.4,0.7,86.3,4.7,0.5,4,47,5,4,72.2,0.2,0.6,-,"1,000",0.1,0.02,0.02,0.3,0.2,100,Processed,Bulbs
Siger rice,13.5,344,1.1,0.2,28.3,5.6,0.7,32,22,5.6,106,77.9,0.1,0.5,-,-,-,0.02,0.1,0.2,0.2,100,Processed,Bulbs
"Jackfruit seeds, Salacca seeds",40.5,262,2.3,5.4,51.1,8,0.7,60,80,0.8,10,2,0.6,2,-,"1,667",-,0.1,1,-,10,100,Processed,Bulbs
Sago porridge,62.5,167,0.2,4,33,-,0.3,3,3,0.1,7,-,0.1,0.1,-,-,-,9,-,0.1,-,100,Processed,Bulbs
Cassavastick,5.6,460,0.8,18.7,17.2,1.6,2.7,144,58,7.5,-,-,-,-,-,-,107,0.19,0.07,0.1,-,100,Processed,Bulbs
Cassava getuk chips,7.2,462,1.2,20.7,67.7,0.6,3.2,"1,248",172,8.8,-,-,-,-,-,-,152,0.29,0.02,0.5,-,100,Processed,Bulbs
Gatot,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28,242,0.2,0.7,-,-,-,0.02,0.1,0.4,0.2,100,Processed,Bulbs
Geblek,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353,125,0.3,0.3,-,-,0.3,0.02,-,0.1,0.2,100,Processed,Bulbs
Fried Getuk,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,-,-,-,-,-,-,-,0.21,-,0.1,-,100,Processed,Bulbs
Cassava Getuk,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,-,-,-,-,-,-,208,0.08,-,0.1,-,100,Processed,Bulbs
Gurandil,47.5,218,0.5,2.5,48.5,3.1,1,50,25,2.8,-,-,-,-,-,-,-,0.19,-,-,-,100,Processed,Bulbs
Kabuto,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2,218,-,-,-,-,-,0.1,0.1,0.6,-,100,Processed,Bulbs
Kapurung,79.6,41,2,0.3,7.8,2,0.6,34,12,0.3,185,566,0.1,0.3,-,213,-,0.12,0.25,2.7,15,100,Processed,Bulbs
Kecimpring fried cassava,3.7,464,1.2,18.6,73,1.3,3.5,82,52,3.4,-,-,-,-,-,-,"3,320",0.34,-,-,-,100,Processed,Bulbs
Keremes,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1,-,-,-,-,-,-,"1,000",-,-,-,-,100,Processed,Bulbs
